dept,course,term,section,rec_course,rec_inst,eval_rate,enroll,evals,expected_grade,received_grade,study_wk,difficulty,amount_learned,attendance,start,duration
ANTH,23,SP15,B,0.7,0.9,0.36666666666666664,30,11,3.14,3.43,3.39,3.4,3.0,3.0,17.0,1.3333333333333333
AWP,4B,SP21,005,0.96,0.96,0.92,25,23,3.23,2.92,7.46,3.7,3.87,3.0,15.5,1.3333333333333333
AWP,2B,SP19,029,0.92,0.92,1.0,13,13,3.33,,5.88,3.31,4.15,3.0,12.5,1.3333333333333333
AWP,2A,WI19,018,0.84,0.96,1.0,25,25,3.47,,6.42,3.54,3.64,3.0,15.5,1.3333333333333333
AWP,1,FA18,005,0.86,1.0,0.9230769230769231,39,36,2.92,2.62,8.17,3.46,3.81,3.0,14.0,0.8333333333333334
AWP,2A,SP18,001,0.88,1.0,1.0,8,8,3.4,,7.25,3.38,3.88,3.0,11.0,1.3333333333333333
AWP,1,WI18,G,1.0,1.0,0.5384615384615384,13,7,2.4,,8.5,4.0,4.57,3.0,12.5,1.3333333333333333
AWP,1,WI18,K,0.73,1.0,0.9166666666666666,12,11,2.89,,6.86,3.45,4.09,3.0,14.0,1.3333333333333333
AWP,2B,WI18,018,0.73,0.93,1.0,15,15,3.4,,4.37,2.86,3.73,3.0,9.5,1.3333333333333333
AWP,1,FA17,012,0.85,1.0,1.0,13,13,3.42,,8.96,3.31,3.85,2.85,9.5,1.3333333333333333
BENG,134,FA21,A,0.6,0.75,0.65625,32,21,3.32,3.17,8.5,4.25,3.57,2.29,9.5,1.3333333333333333
BENG,182,SP21,A,0.77,0.85,0.43333333333333335,30,13,3.83,3.8,8.65,3.77,4.0,2.08,9.5,1.3333333333333333
BENG,126B,WI21,A,0.75,1.0,0.15384615384615385,26,4,4.0,3.97,6.5,3.0,3.33,2.75,8.0,0.8333333333333334
BENG,152,WI21,A,1.0,1.0,0.2777777777777778,18,5,4.0,3.82,6.1,3.6,4.8,3.0,9.0,0.8333333333333334
BENG,179B,WI21,A,0.88,1.0,0.22857142857142856,35,8,4.0,3.93,3.75,3.33,4.0,3.0,15.0,0.8333333333333334
BENG,169A,FA20,A,1.0,1.0,0.13636363636363635,22,3,4.0,3.91,5.17,4.0,4.67,2.33,8.0,0.8333333333333334
BENG,186B,WI20,D,0.67,0.33,0.375,24,9,3.0,2.94,11.83,4.56,4.0,2.11,17.0,1.3333333333333333
BENG,87,WI20,A,0.57,0.57,0.7777777777777778,9,7,,,0.79,1.6,3.43,2.86,12.0,0.8333333333333334
BENG,100,SP18,A,0.76,0.9,0.4539877300613497,163,74,3.18,2.91,7.2,4.31,3.99,2.85,14.0,0.8333333333333334
BENG,1,WI18,A,0.74,0.89,0.6262626262626263,198,124,3.8,,3.36,2.65,3.55,3.0,17.0,1.3333333333333333
BENG,120,WI18,A,0.68,0.8,0.5098039215686274,51,26,2.88,3.39,7.92,4.6,4.04,2.96,16.0,0.8333333333333334
BENG,128B,WI18,A,0.89,1.0,0.42857142857142855,21,9,3.89,4.0,9.75,3.67,4.25,3.0,13.0,0.8333333333333334
BENG,161A,FA17,A,0.98,0.98,0.6721311475409836,61,41,3.54,2.92,8.5,3.9,4.41,2.9,11.0,1.3333333333333333
BENG,112A,WI17,A,0.83,0.67,0.26666666666666666,45,12,3.42,3.6,5.67,4.09,3.75,2.92,15.0,0.8333333333333334
BENG,122A,FA16,A,0.84,0.58,0.24691358024691357,81,20,3.32,3.42,6.5,3.89,4.11,2.74,9.5,1.3333333333333333
BENG,161A,FA16,A,0.81,0.85,0.9298245614035088,57,53,3.25,3.12,9.54,4.25,4.06,2.89,11.0,1.3333333333333333
BENG,183,FA16,A,0.81,0.9,0.7058823529411765,68,48,3.5,3.5,4.2,3.32,3.82,2.96,15.5,1.3333333333333333
BENG,186B,WI16,A,1.0,0.93,0.4166666666666667,72,30,3.62,3.43,7.69,4.04,4.46,3.0,16.0,0.8333333333333334
BENG,139A,FA15,A,0.75,1.0,0.4166666666666667,12,5,3.5,,6.0,4.5,4.0,2.0,11.0,0.8333333333333334
BENG,161A,FA15,A,0.96,0.94,0.9454545454545454,55,52,3.16,2.84,9.15,4.55,4.04,2.87,9.5,1.3333333333333333
BENG,87,FA15,B,1.0,1.0,0.4666666666666667,15,7,4.0,,0.5,2.0,4.29,3.0,14.0,0.8333333333333334
BENG,100,SP15,A,0.53,0.67,0.4246575342465753,146,62,3.14,3.08,10.95,4.67,3.16,2.93,12.5,1.3333333333333333
BENG,172,SP15,A,0.81,1.0,0.2909090909090909,55,16,3.67,3.31,11.79,4.29,3.93,2.87,10.0,0.8333333333333334
BENG,128B,WI15,A,1.0,1.0,0.375,8,3,4.0,,7.17,3.0,5.0,2.33,13.0,0.8333333333333334
BIBC,100,SP22,A,0.99,1.0,0.7939914163090128,233,185,3.76,3.85,5.23,3.22,4.48,2.51,15.5,1.3333333333333333
BIBC,151,SP22,A,1.0,1.0,0.47058823529411764,34,16,3.87,3.99,4.63,3.0,4.93,3.0,12.5,4.333333333333333
